sex,sexage_rec,health_cond,educ,mjday30a,mjage,alctry,cigtry,smklsstry,oxcnnmage,mjmfu,poverty3,irfamin3,cig30use,mjever,age2,smklss30n
Female,Other,Very Good,College grad,1,20,18,20,991,991,99,3,6,93,1,13,91
Male,Other,Excellent,HS grad,3,4,10,3,991,991,99,1,1,30,1,16,91
Male,Males Aged 18-25,Very Good,Less HS,30,16,18,18,991,991,99,1,2,30,1,12,91
Female,Other,Good,Some coll/Assoc,20,21,18,17,991,991,99,2,5,93,1,14,91
Female,Other,Fair/Poor,Some coll/Assoc,30,16,10,16,991,991,99,3,5,93,1,16,91
Male,Other,Very Good,Some coll/Assoc,3,16,16,13,21,993,99,2,4,93,1,15,93
Male,Males Aged 12-17,Good,12-17yrsold,28,14,12,9,10,991,99,3,7,5,1,6,30
Male,Other,Fair/Poor,Some coll/Assoc,2,16,14,14,991,991,99,2,2,30,1,16,91
Male,Males Aged 12-17,Very Good,12-17yrsold,20,15,15,15,991,993,99,1,2,93,1,6,91
Female,Other,Very Good,College grad,2,16,15,16,16,993,99,3,6,93,1,14,93
Male,Males Aged 12-17,Excellent,12-17yrsold,20,15,15,16,991,991,99,3,7,93,1,6,91
Male,Males Aged 12-17,Very Good,12-17yrsold,1,14,14,15,15,993,99,3,7,1,1,5,93
Male,Other,Very Good,Less HS,30,18,17,25,991,991,99,3,7,30,1,15,91
Female,Females Aged 18-25,Good,Less HS,15,17,18,18,991,991,99,2,3,93,1,8,91
Male,Other,Very Good,College grad,4,12,11,10,14,993,99,3,7,30,1,14,93
Male,Males Aged 18-25,Very Good,Some coll/Assoc,1,21,18,19,20,993,99,3,6,25,1,11,93
Male,Other,Excellent,Some coll/Assoc,12,18,16,17,18,993,99,3,5,93,1,14,30
Male,Other,Very Good,College grad,30,15,14,17,17,991,99,3,4,30,1,14,93
Male,Other,Good,Some coll/Assoc,30,15,15,14,991,993,99,3,7,93,1,15,91
Male,Males Aged 18-25,Good,HS grad,28,16,14,15,16,991,99,3,6,2,1,8,29
Female,Females Aged 18-25,Fair/Poor,Some coll/Assoc,2,12,16,15,991,993,99,2,7,30,1,12,91
Male,Males Aged 18-25,Very Good,Less HS,12,13,14,15,991,991,99,1,2,10,1,11,91
Female,Other,Good,College grad,30,14,10,14,991,991,99,1,2,30,1,16,91
Male,Males Aged 12-17,Excellent,12-17yrsold,2,11,11,12,991,991,99,1,2,1,1,2,91
Female,Other,Very Good,College grad,12,16,13,15,991,993,99,3,7,93,1,15,91
Male,Males Aged 18-25,Very Good,Less HS,30,15,16,15,15,991,99,2,4,30,1,11,93
Female,Females Aged 18-25,Very Good,HS grad,5,19,15,18,991,991,6,3,7,93,1,9,91
Female,Females Aged 12-17,Excellent,12-17yrsold,1,15,13,13,991,991,89,3,7,93,1,6,91
Male,Other,Very Good,Less HS,7,19,19,22,991,991,99,3,6,93,1,13,91
Male,Other,Good,Some coll/Assoc,22,16,16,12,18,991,99,3,7,93,1,15,93
Female,Other,Fair/Poor,Less HS,5,12,21,18,991,991,99,1,2,20,1,15,91
Female,Other,Very Good,HS grad,30,13,4,10,991,991,99,3,6,30,1,15,91
Male,Other,Very Good,College grad,30,16,15,20,17,993,99,3,5,93,1,13,93
Male,Males Aged 12-17,Fair/Poor,12-17yrsold,30,11,10,11,11,993,99,3,7,93,1,6,93
Female,Other,Fair/Poor,Some coll/Assoc,1,14,12,15,991,993,99,1,2,93,1,15,91
Female,Other,Very Good,College grad,12,18,18,13,21,991,99,3,7,93,1,15,93
Male,Males Aged 18-25,Excellent,College grad,27,19,19,19,17,991,99,3,6,2,1,12,3
Male,Other,Good,Some coll/Assoc,1,15,15,15,991,993,99,3,4,93,1,16,91
Female,Females Aged 18-25,Good,College grad,30,16,16,18,19,991,99,2,3,93,1,11,93
Female,Other,Good,HS grad,27,20,21,16,991,991,99,1,3,93,1,13,91
Male,Other,Fair/Poor,Less HS,1,10,12,12,991,991,99,3,5,93,1,13,91
Female,Females Aged 18-25,Good,Some coll/Assoc,1,19,15,19,21,991,99,3,7,93,1,10,2
Male,Other,Fair/Poor,Some coll/Assoc,30,15,15,15,991,993,99,1,2,30,1,16,91
Male,Other,Fair/Poor,HS grad,1,18,21,18,18,991,99,3,7,1,1,14,1
